,author,statement,source,date,target,BinaryTarget,BinaryNumTarget
0,Tom Kertscher,"""They say the ocean will rise one-eighth of an inch over the next 200 to 300 years.""",Donald Trump,"November 17, 2022",pants-fire,FAKE,0
1,Ciara O'Rourke,Photo shows “ballots not counted in California and this is only one polling location. Yet Gavin Newsom was declared governor minutes after polling stations closed.”,Viral image,"November 17, 2022",barely-true,FAKE,0
2,Amy Sherman,Bags arriving at the Maricopa County vote counting site are evidence of “Democrats with the help of the media and GOP establishment stealing another election.”,Instagram posts,"November 17, 2022",pants-fire,FAKE,0
3,Madison Czopek,"President Joe Biden said, “I know you all know there’s no climate problem,” proving that people have been “lying for decades” about climate change.",Instagram posts,"November 17, 2022",false,FAKE,0
4,Amy Sherman,“Republicans want to raise the voting to age 28.”,Sunny Hostin,"November 17, 2022",false,FAKE,0
5,Ciara O'Rourke,“European royals killing naked children for fun at hunting parties.”,Viral image,"November 17, 2022",pants-fire,FAKE,0
6,Ciara O'Rourke,Photo shows Jeff Bezos’s clone.,Viral image,"November 17, 2022",pants-fire,FAKE,0
7,Tom Kertscher,"Raphael Warnock ""believes in no cash bail"" and ""letting people out of prison that are going to make us prisoners in our own home.""",Herschel Walker,"November 17, 2022",barely-true,FAKE,0
8,Ciara O'Rourke,“Biden ‘child porn’ shock” headline was “front page news in Australia.”,Viral image,"November 17, 2022",false,FAKE,0
9,Ciara O'Rourke,“Florida man arrested for using a lost U.S. nuke to power his home for more than 27 years.”,Viral image,"November 16, 2022",pants-fire,FAKE,0
10,Madison Czopek,It’s proof of “voter fraud” that it takes some states days to count 2 million votes while Florida results were available on election night.,Instagram posts,"November 16, 2022",false,FAKE,0
11,Jeff Cercone,A livestream failing in Nevada is “one of the ways blue states steal elections.”,Instagram posts,"November 16, 2022",false,FAKE,0
12,Ciara O'Rourke,Footage shows Dallas pollbooks fraudulently “adding hundreds of voters in real time as the poll was being closed.”,Instagram posts,"November 16, 2022",false,FAKE,0
13,Ciara O'Rourke,“The CEO of FTX is the daughter of the chairman of the SEC.”,Viral image,"November 16, 2022",false,FAKE,0
14,Gabrielle Settles,"Dr. Anthony Fauci, Ron DeSantis and others “are ALL in a diamond mining business in Oklahoma together!”",Instagram posts,"November 16, 2022",pants-fire,FAKE,0
15,Ciara O'Rourke,Split election results show the Arizona governor’s race was rigged.,Instagram posts,"November 16, 2022",pants-fire,FAKE,0
16,Jeff Cercone,U.S. tax dollars sent to help Ukraine were laundered back by cryptocurrency firm FTX to help Democrats in midterms.,Instagram posts,"November 15, 2022",false,FAKE,0
17,Maria Ramirez,"“Iran sentences 15,000 protesters to death.”",Instagram posts,"• November 15,",false,FAKE,0
18,Ciara O'Rourke,Amazon’s Alexa confirms Michelle Obama “was born Michael LaVaughn Robinson.”,Viral image,"November 15, 2022",pants-fire,FAKE,0
19,Andy Nguyen,The death of a 4-year-old who appeared in vaccination campaign posters is linked to vaccines.,Instagram posts,"November 15, 2022",false,FAKE,0
20,Chad Bradley,"“We waited 24 hours and got a measly 62k votes"" in Maricopa County",Mark Finchem,"November 14, 2022",false,FAKE,0
21,Ciara O'Rourke,"Maggie Hassan won “1,100 votes from town with population under 700.”",Viral image,"November 14, 2022",false,FAKE,0
22,Yacob Reyes,"In the 2018 Florida governor's race ""votes were being stolen by the corrupt election process in Broward. … I sent in the FBI and the U.S. Attorneys, and the ballot theft immediately ended. … I stopped his Election from being stolen.""",Donald Trump,"November 11, 2022",pants-fire,FAKE,0
23,Ciara O'Rourke,A New York election results map is evidence of fraud.,Viral image,"November 11, 2022",false,FAKE,0
24,Maria Ramirez,"Election results in Clark County, Nevada, and Arizona are not yet known because those places “want more time to cheat.”",Donald Trump,"• November 11,",pants-fire,FAKE,0
25,Gabrielle Settles,“Many elections in Bexar are being called with 0% of precincts reporting! I smell MAJOR FRAUD!”,Instagram posts,"November 11, 2022",false,FAKE,0
26,Ciara O'Rourke,Democrats used “47 million mail-in ballots” to steal “every election in the country.”,Instagram posts,"November 11, 2022",pants-fire,FAKE,0
27,Ciara O'Rourke,Video shows a Philadelphia poll worker committing election fraud.,Viral image,"November 11, 2022",pants-fire,FAKE,0
28,Ciara O'Rourke,"When 36% of the vote was in, Pennsylvania gubernatorial candidate Josh Shapiro had 370,706 votes and 56.6% of the vote while Doug Mastriano had 844,669 and 41.6%.",Viral image,"November 11, 2022",false,FAKE,0
29,Ciara O'Rourke,Image shows Arizona gubernatorial candidate and Secretary of State Katie Hobbs in the room where ballots were being counted in Maricopa County.,Viral image,"November 11, 2022",false,FAKE,0
30,Ciara O'Rourke,Photos shows 2022 “midterm ballots in trash.”,Viral image,"November 11, 2022",pants-fire,FAKE,0
31,Tori Gantz,"""If Arizona were a country, it’d be the eighth largest incarcerator in the world.""",Julie Gunnigle,"November 11, 2022",mostly-true,FAKE,0
32,Andy Nguyen,"Glitches with voting in Arizona, New Jersey and Texas are proof the election is rigged.",Instagram posts,"November 11, 2022",false,FAKE,0
33,Warren Fiske,"In his election as governor, “We won cities that no Republican had ever won.”",Glenn Youngkin,"November 11, 2022",false,FAKE,0
34,Ciara O'Rourke,Photo shows “late-night operatives moving van-loads of suspicious ballots way after legal deadline in Detroit.”,Viral image,"November 10, 2022",false,FAKE,0
35,Ciara O'Rourke,The number of followers John Fetterman and Mehmet Oz have on Instagram proves the Pennsylvania Senate race was illegitimate.,Instagram posts,"November 10, 2022",pants-fire,FAKE,0
36,Ciara O'Rourke,A “dead man on the ballot” is evidence the Democrats cheated in the election.,Instagram posts,"November 10, 2022",false,FAKE,0
37,Ciara O'Rourke,Graph shows Gretchen Whitmer stole the Michigan gubernatorial election.,Instagram posts,"November 10, 2022",pants-fire,FAKE,0
38,Ciara O'Rourke,Map proves the Pennsylvania Senate election was rigged.,Instagram posts,"November 10, 2022",pants-fire,FAKE,0
39,Madison Czopek,A video shows a whistleblower creating fraudulent military ballots during the 2020 presidential election.,Instagram posts,"November 10, 2022",false,FAKE,0
40,Michael Majchrowicz,‘No Sharpies on ballots’ permitted for in-person voting in Illinois.,Instagram posts,"November 10, 2022",false,FAKE,0
41,Faithlyn Graham,West Virginia is poised to “receive $25M for 160 orphaned well clean-up projects across the state.”,Joe Manchin,"November 10, 2022",true,REAL,1
42,Ciara O'Rourke,The Michigan attorney general’s race was “stolen in the middle of the night from Matt DePerno.”,Instagram posts,"November 9, 2022",pants-fire,FAKE,0
43,Michael Majchrowicz,Video shows a faulty New York voting machine invalidated a GOP vote in governor’s race.,Facebook posts,"November 9, 2022",false,FAKE,0
44,Ciara O'Rourke,“Minnesota was stolen from Scott Jensen.”,Instagram posts,"November 9, 2022",pants-fire,FAKE,0
45,Madison Czopek,"It’s a sign of fraud that “in 244 counties across the United States, there are more registered voters than there are people legally eligible to vote.”",Instagram posts,"November 9, 2022",false,FAKE,0
46,Ciara O'Rourke,USA Today reported that “5 children have gone missing inside a Chuck E. Cheese.”,Viral image,"November 9, 2022",pants-fire,FAKE,0
47,Maria Ramirez,“Maricopa County intentionally reduced the polling places.”,Charlie Kirk,"• November 9,",pants-fire,FAKE,0
48,Ciara O'Rourke,“Pennsylvania judge allows ballots to count that are received up until November 14th.”,Viral image,"November 9, 2022",pants-fire,FAKE,0
49,Jon Greenberg,"“Electronic voting machines didn't allow people to vote” in Maricopa County, Arizona.",Tucker Carlson,"November 9, 2022",false,FAKE,0
50,Amy Sherman,John Fetterman “is suing for the right to cheat and steal the election.”,Instagram posts,"November 9, 2022",false,FAKE,0
51,Tom Kertscher,"In Detroit, “people are showing up to vote only to be told, ‘sorry, you have already voted.’”",Donald Trump,"November 9, 2022",false,FAKE,0
52,Michael Majchrowicz,Image shows that the New Mexico secretary of state counted more than 17 million registered voters in a state with a population of about 2 million.,Instagram posts,"November 8, 2022",false,FAKE,0
53,Renee Romo,“Kari Lake is opposed to red flag laws.”,Everytown for Gun Safety,"November 8, 2022",true,REAL,1
54,Alexis Waiss,"The COVID-19 vaccine for children is proving to be “not only ineffective, it’s also proving to be dangerous.”",Kari Lake,"November 8, 2022",false,FAKE,0
55,Andy Nguyen,A Twitter employee was laid off after receiving a meme.,Instagram posts,"November 8, 2022",pants-fire,FAKE,0
56,Jon Greenberg,"“There is no chain of custody” for ballots placed in Box No. 3 at Maricopa, Arizona, polling sites.",Tweets,"November 8, 2022",false,FAKE,0
57,Gabrielle Settles,Video suggests GOP voters denied access in general election.,Instagram posts,"November 8, 2022",false,FAKE,0
58,Michael Majchrowicz,A wax figure of Ye was removed from Madame Tussauds museum but a figure of Adolf Hitler remained.,Instagram posts,"November 8, 2022",false,FAKE,0
59,Jill Terreri,Delayed election results are proof of fraud.,Instagram posts,"• November 8,",false,FAKE,0
60,Sara Swann,Suggests that “since mostly Democrats vote early” then that represents “made-up ballots or dead people voting.”,Instagram posts,"November 8, 2022",false,FAKE,0
61,Jeff Cercone,"""They’re trying to rig the election again! Do not trust the Soros funded voting machines!!!”",Instagram posts,"November 8, 2022",false,FAKE,0
